# host=omarchy-power9 kernel=7.2.6-64k date=2026-09-16T19:35:40-06:00 cpu=88 node=0 runs=5 reps=3
# emulator=/home/jbettcher/Development/POWERarm-wt/bench/build-bench/Bin/POWERarm commit=41e9380c03cf42999429a49c9f95ff3e570e201d
# smt: on load: 2.48 7.40 8.35 2/2576 4001626
# cpufreq cpu88 before: governor=ondemand cur=2333000 max=3800000
host,config,bench,run,rep,scale,ns,wall_ns,sum,parity,node_busy_pct
power9,native-power8,vm,4,2,150000,453927028,1369178617,0000814e78cfc084,,1
power9,native-power8,vm,4,summary,150000,1361745127,1369178617,0000814e78cfc084,ok,1
power9,native-power9,vm,4,0,150000,454071320,1370821531,0000814e78cfc084,,1
power9,native-power9,vm,4,1,150000,453865910,1370821531,0000814e78cfc084,,1
power9,native-power9,vm,4,2,150000,453885933,1370821531,0000814e78cfc084,,1
power9,native-power9,vm,4,summary,150000,1361823163,1370821531,0000814e78cfc084,ok,1
power9,powerarm,vm,4,0,150000,3312134343,9963698133,0000814e78cfc084,,4
power9,powerarm,vm,4,1,150000,3309310401,9963698133,0000814e78cfc084,,4
power9,powerarm,vm,4,2,150000,3310005549,9963698133,0000814e78cfc084,,4
power9,powerarm,vm,4,summary,150000,9931450293,9963698133,0000814e78cfc084,ok,4
power9,powerarm-startup,vm,4,0,1,453119,33727936,000000003850006f,,2
power9,powerarm-startup,vm,4,summary,1,453119,33727936,000000003850006f,ok,2
power9,native-power9-startup,vm,4,0,1,4726,5766383,000000003850006f,,3
power9,native-power9-startup,vm,4,summary,1,4726,5766383,000000003850006f,ok,3
power9,native-power8,sort,4,0,2500000,349049208,1065980618,f05bf4351ec0e785,,2
power9,native-power8,sort,4,1,2500000,348780298,1065980618,f05bf4351ec0e785,,2
