# host=omarchy-power9 cpu=120 iters=4000000 date=2026-09-16T21:06:29-06:00 load=2.96 5.04 5.91 freq=3800000
S_reg_rt1,pm_lsu_flush_lhl_shl:u,2,0.0000,78.00%
S_reg_rt1,pm_cmplu_stall_fxu:u,585326,0.1463,77.00%
S_ctx_rt1,ns_per_iter,4.691,4.691
S_ctx_rt1,cycles:u,90282436,22.5706,100.00%
S_ctx_rt1,instructions:u,55542397,13.8856,100.00%
S_ctx_rt1,pm_cmplu_stall:u,55338167,13.8345,100.00%
S_ctx_rt1,pm_cmplu_stall_exec_unit:u,783722,0.1959,100.00%
S_ctx_rt1,pm_flush_mpred:u,136208,0.0341,100.00%
S_ctx_rt1,pm_cmplu_stall_st_fwd:u,17989056,4.4973,100.00%
S_ctx_rt1,pm_cmplu_stall_lhs:u,666,0.0002,100.00%
S_ctx_rt1,pm_br_mpred_cmpl:u,135013,0.0338,100.00%
S_ctx_rt1,pm_br_pred_ccache:u,909,0.0002,100.00%
S_ctx_rt1,pm_br_mpred_ccache:u,193,0.0000,100.00%
S_ctx_rt1,pm_br_pred_lstack:u,1479,0.0004,100.00%
S_ctx_rt1,pm_br_mpred_lstack:u,226,0.0001,100.00%
S_ctx_rt1,pm_cmplu_stall_bru:u,879,0.0002,100.00%
S_ctx_rt1,pm_cmplu_stall_lsu:u,54392651,13.5982,100.00%
S_ctx_rt1,pm_st_fwd:u,4402426,1.1006,24.00%
S_ctx_rt1,pm_flush_lsu:u,11553,0.0029,52.00%
S_ctx_rt1,pm_lsu_flush_lhl_shl:u,11246,0.0028,76.00%
S_ctx_rt1,pm_cmplu_stall_fxu:u,611671,0.1529,75.00%
S_reg_rt4,ns_per_iter,0.626,0.626
S_reg_rt4,cycles:u,28585161,7.1463,100.00%
S_reg_rt4,instructions:u,59546522,14.8866,100.00%
S_reg_rt4,pm_cmplu_stall:u,8502680,2.1257,100.00%
S_reg_rt4,pm_cmplu_stall_exec_unit:u,751685,0.1879,100.00%
S_reg_rt4,pm_flush_mpred:u,136192,0.0340,100.00%
S_reg_rt4,pm_cmplu_stall_st_fwd:u,1259,0.0003,100.00%
S_reg_rt4,pm_cmplu_stall_lhs:u,28,0.0000,100.00%
S_reg_rt4,pm_br_mpred_cmpl:u,134594,0.0336,100.00%
S_reg_rt4,pm_br_pred_ccache:u,909,0.0002,100.00%
S_reg_rt4,pm_br_mpred_ccache:u,192,0.0000,100.00%
S_reg_rt4,pm_br_pred_lstack:u,1486,0.0004,100.00%
S_reg_rt4,pm_br_mpred_lstack:u,228,0.0001,100.00%
S_reg_rt4,pm_cmplu_stall_bru:u,842,0.0002,100.00%
S_reg_rt4,pm_cmplu_stall_lsu:u,7711733,1.9279,100.00%
S_reg_rt4,pm_st_fwd:u,0,0.0000,29.00%
S_reg_rt4,pm_flush_lsu:u,36,0.0000,57.00%
S_reg_rt4,pm_lsu_flush_lhl_shl:u,2,0.0000,78.00%
S_reg_rt4,pm_cmplu_stall_fxu:u,617734,0.1544,70.00%
S_ctx_rt4,ns_per_iter,4.445,4.445
S_ctx_rt4,cycles:u,86582131,21.6455,100.00%
S_ctx_rt4,instructions:u,91579280,22.8948,100.00%
S_ctx_rt4,pm_cmplu_stall:u,50031257,12.5078,100.00%
S_ctx_rt4,pm_cmplu_stall_exec_unit:u,836844,0.2092,100.00%
S_ctx_rt4,pm_flush_mpred:u,136074,0.0340,100.00%
